geo_point,geo_shape,grid_code,source,to_node,arcid,from_node,route_length_m
"-37.80665778257462, 144.91133696105896","{""coordinates"": [[[144.91134276422966, -37.8066533796617], [144.9113311578883, -37.806662185487546]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2600,2829,2599,1.4142135616733915
"-37.806803852306686, 144.91224018028407","{""coordinates"": [[[144.91219065330412, -37.80679457985884], [144.91220175217546, -37.80680378834176], [144.91229257273497, -37.80680539858338]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2635,2876,2633,9.414213561736446
"-37.80686630853383, 144.91293259829672","{""coordinates"": [[[144.91293840139318, -37.80686190554006], [144.91292679520026, -37.806870711527594]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2650,2899,2647,1.414213561179483
"-37.80693977933783, 144.91373829017095","{""coordinates"": [[[144.9136858975433, -37.806938233716686], [144.91377671835346, -37.80693984281894], [144.91378781744982, -37.80694905115855]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2661,2915,2659,9.414213562597652
"-37.80695631161023, 144.9137238187033","{""coordinates"": [[[144.91367429142338, -37.806947039780084], [144.9136853905076, -37.806956248129], [144.91377621133975, -37.80695785723229]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2664,2918,2660,9.414213561119562
"-37.807144463384574, 144.94532954157162","{""coordinates"": [[[144.9452544350237, -37.80679941793356], [144.94537681922463, -37.806891670828904], [144.94538667404387, -37.80694591323737], [144.94539777720755, -37.8069551187109], [144.94544318853306, -37.806955911046906], [144.94543033772777, -37.80700975728652], [144.94546389693033, -37.80702836630573], [144.94546339761268, -37.80704638107992], [144.94536907946122, -37.80717089981329], [144.94530881963416, -37.80729601275312], [144.94527401193378, -37.807322440616225], [144.9452735125647, -37.80734045538737], [144.9452159990447, -37.80736648703001], [144.9452152499686, -37.807393509185516], [144.94519204478476, -37.8074111277419], [144.94520314799047, -37.807420333234425], [144.9451902969158, -37.80747417943643], [144.9451438864734, -37.80750941653217]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2666,2922,2493,100.09779293400298
"-37.807127727302685, 144.91548085343243","{""coordinates"": [[[144.91548665640457, -37.80712332417961], [144.91547505046032, -37.807132130425764]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2704,2970,2701,1.4142135599035532
"-37.807182308242105, 144.9160188379119","{""coordinates"": [[[144.9160189645302, -37.807177804632516], [144.91601871129362, -37.80718681185169]]], ""type"": ""MultiLineString""}",3,2008 DEM to stream order using ESRI Spatial Analy*,2711,2982,2710,0.9999999990686774
"-37.807406415859845, 144.9182444509809","{""coordinates"": [[[144.91823877462818, -37.80740631550737], [144.9182501273336, -37.807406516212325]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2783,3080,2782,0.9999999974388629
"-37.807423840248006, 144.91846544934612","{""coordinates"": [[[144.91846557581695, -37.80741933663158], [144.9184653228753, -37.80742834386442]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2792,3093,2790,1.0
