geo_point,geo_shape,suburb_id,latitude,street_no,str_name,address_pnt,easting,northing,gisid,longitude,suburb,street_id,add_comp,missing_street_number_flag,missing_street_name_flag,missing_suburb_flag,missing_suburb_id_flag,address_completeness
"-37.81926760691, 144.9452695524","{""coordinates"": [144.9452695524, -37.81926760691], ""type"": ""Point""}",599,-37.81926761,800,Bourke Street,800 Bourke Street  Docklands,319148.61036427,5812248.4084266,23789,144.94526955,Docklands,455,,False,False,False,False,Complete
"-37.817406436628, 144.963964261094","{""coordinates"": [144.963964261094, -37.817406436628], ""type"": ""Point""}",591,-37.81740644,307,Flinders Lane,307 Flinders Lane  Melbourne,320789.7364579,5812490.97265398,33786,144.96396426,Melbourne,635,,False,False,False,False,Complete
"-37.815517845279, 144.954323874882","{""coordinates"": [144.954323874882, -37.815517845279], ""type"": ""Point""}",591,-37.81551784,6,Rose Lane,6 Rose Lane  Melbourne,319936.51751932,5812682.00073635,46767,144.95432388,Melbourne,1037,,False,False,False,False,Complete
"-37.79131238876, 144.925146299379","{""coordinates"": [144.925146299379, -37.79131238876], ""type"": ""Point""}",590,-37.79131239,72,Epsom Road,72 Epsom Road  Kensington,317308.33707747,5815311.34566899,23588,144.9251463,Kensington,605,,False,False,False,False,Complete
"-37.794010219974, 144.916987707153","{""coordinates"": [144.916987707153, -37.794010219974], ""type"": ""Point""}",590,-37.79401022,224,Stockmans Way,224 Stockmans Way  Kensington,316596.56306378,5814995.99523904,59217,144.91698771,Kensington,1438,,False,False,False,False,Complete
"-37.827160532326, 144.958904962012","{""coordinates"": [144.958904962012, -37.827160532326], ""type"": ""Point""}",596,-37.82716053,277,City Road,277 City Road  Southbank,320368.02845027,5811398.87642402,44092,144.95890496,Southbank,1345,,False,False,False,False,Complete
"-37.809264459779, 144.96858147918","{""coordinates"": [144.96858147918, -37.809264459779], ""type"": ""Point""}",591,-37.80926446,108,Little Lonsdale Street,108 Little Lonsdale Street  Melbourne,321176.53571186,5813403.30506571,29035,144.96858148,Melbourne,825,,False,False,False,False,Complete
"-37.777074299961, 144.938605288972","{""coordinates"": [144.938605288972, -37.777074299961], ""type"": ""Point""}",593,-37.7770743,69,Cade Way,69 Cade Way  Parkville,318458.69265674,5816917.5172407,21014,144.93860529,Parkville,119270,,False,False,False,False,Complete
"-37.794515618972, 144.972571930825","{""coordinates"": [144.972571930825, -37.794515618972], ""type"": ""Point""}",585,-37.79451562,11,Charles Street,11 Charles Street  Carlton,321492.33616618,5815047.55313395,12899,144.97257193,Carlton,502,,False,False,False,False,Complete
"-37.814934826061, 144.961601830295","{""coordinates"": [144.961601830295, -37.814934826061], ""type"": ""Point""}",591,-37.81493483,30,McKillop Street,30 McKillop Street  Melbourne,320575.7900579,5812760.70221686,4566,144.96160183,Melbourne,859,,False,False,False,False,Complete
