_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
6952,"-37.811610684132845, 144.97048466387812","{""coordinates"": [[144.97051932810552, -37.811686832685915], [144.97044999965073, -37.81153453557978]], ""type"": ""LineString""}",2014-11-18,1149428,,1149427,1128854,0,4.98623724008414,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6953,"-37.811062765692114, 144.97022902942967","{""coordinates"": [[144.9702358491388, -37.811073827595585], [144.97022220972056, -37.811051703788635]], ""type"": ""LineString""}",2014-11-18,1140791,,1140792,1128604,0,4.98735322704473,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
6954,"-37.81111529496441, 144.97025692659733","{""coordinates"": [[144.97027800405587, -37.81115676233324], [144.9702358491388, -37.811073827595585]], ""type"": ""LineString""}",2014-11-18,1140792,,1140803,1128605,0,4.98623733453407,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6955,"-37.82039426588517, 144.94015527965468","{""coordinates"": [[144.9401802807417, -37.82032861088629], [144.94013027856766, -37.820459920884055]], ""type"": ""LineString""}",2014-05-30,,,,1580159,0,4.97515186392245,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,
6956,"-37.82049792511556, 144.9401993053712","{""coordinates"": [[144.94013027856766, -37.820459920884055], [144.94026833217478, -37.82053592934706]], ""type"": ""LineString""}",2014-05-30,,,,1580160,0,4.97716657727366,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6957,"-37.82074413696345, 144.94037203107246","{""coordinates"": [[144.9403603139761, -37.8207187577631], [144.94038374816884, -37.820769516163814]], ""type"": ""LineString""}",2014-05-30,,,,1580163,0,4.97716657610861,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6958,"-37.820614483445226, 144.9406476274359","{""coordinates"": [[144.94062854080425, -37.82059883013728], [144.94066671406753, -37.82063013675318]], ""type"": ""LineString""}",2014-05-30,,,,1580165,0,4.97515186135181,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,
6959,"-37.82063653699262, 144.94072581992168","{""coordinates"": [[144.94078492577583, -37.82064293723207], [144.94066671406753, -37.82063013675318]], ""type"": ""LineString""}",2013-09-10,,,,1580152,0,4.95851783473804,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
6960,"-37.82101974421572, 144.94140934078195","{""coordinates"": [[144.9413479781884, -37.820886379758065], [144.94147070337553, -37.82115310867337]], ""type"": ""LineString""}",2014-05-30,,,,1580157,0,4.97716657842804,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
6961,"-37.82123967103749, 144.94151056445958","{""coordinates"": [[144.94147070337553, -37.82115310867337], [144.9415504255436, -37.8213262334016]], ""type"": ""LineString""}",2014-05-30,,,,1580158,0,4.97716657804324,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
6962,"-37.821349707793296, 144.94154018049375","{""coordinates"": [[144.9415504255436, -37.8213262334016], [144.9415299354439, -37.82137318218499]], ""type"": ""LineString""}",2014-05-30,,,,1580166,0,4.97716657475114,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
6963,"-37.82082633754753, 144.94139772561343","{""coordinates"": [[144.94144747303847, -37.820766295337], [144.9413479781884, -37.820886379758065]], ""type"": ""LineString""}",2014-05-30,,,,1580169,0,4.97716657354333,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
6964,"-37.82028169941782, 144.9410539180713","{""coordinates"": [[144.94097831956114, -37.82011729819179], [144.94112951658147, -37.820446100643856]], ""type"": ""LineString""}",2014-05-30,,,,1580174,0,4.97716657159799,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6965,"-37.820528935401555, 144.94094340231482","{""coordinates"": [[144.94095174646873, -37.82054769998649], [144.9409350581609, -37.82051017081662]], ""type"": ""LineString""}",2014-05-30,,,,1580176,0,4.97515185645485,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,
6966,"-37.82012301029455, 144.9406406367676","{""coordinates"": [[144.94062515375006, -37.820107663782345], [144.94065611978513, -37.82013835680676]], ""type"": ""LineString""}",2014-05-30,,,,1580177,0,4.97515185602447,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6967,"-37.82005289853879, 144.94093144619342","{""coordinates"": [[144.94091623262244, -37.820057347863525], [144.9409466597644, -37.82004844921405]], ""type"": ""LineString""}",2014-05-30,,,,1580155,0,4.97529717632491,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
6968,"-37.82047041032395, 144.94156854777648","{""coordinates"": [[144.94163354439374, -37.82053845551123], [144.94150355115923, -37.820402365136665]], ""type"": ""LineString""}",2014-05-30,,,,1580183,0,4.97716656794247,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6969,"-37.82111699555552, 144.94291269853204","{""coordinates"": [[144.94285818955018, -37.82110366470336], [144.94296720751393, -37.82113032640768]], ""type"": ""LineString""}",2013-09-10,,,,1580187,0,4.96165701165267,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6970,"-37.821895832430386, 144.9436043036624","{""coordinates"": [[144.94361704166093, -37.821866632992865], [144.94359156566387, -37.821925031867906]], ""type"": ""LineString""}",2014-05-30,,,,1580194,0,4.97716656370977,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6971,"-37.82131861715919, 144.94330663056974","{""coordinates"": [[144.94325119163665, -37.821325968363524], [144.94336206950285, -37.82131126595486]], ""type"": ""LineString""}",2014-05-30,,,,1580196,0,4.97515184774266,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,
6972,"-37.82054726758864, 144.9447218224581","{""coordinates"": [[144.94480183510387, -37.82059065036307], [144.9446418098123, -37.82050388481421]], ""type"": ""LineString""}",2014-05-30,,,,1580199,0,4.97529715732568,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
6973,"-37.820869420664046, 144.94526156553127","{""coordinates"": [[144.94525726217742, -37.82085115179403], [144.94526586888512, -37.82088768953406]], ""type"": ""LineString""}",2014-05-30,,,,1580200,0,4.97716656124069,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6974,"-37.82060834486923, 144.94458403030828","{""coordinates"": [[144.94457136541706, -37.820580735345175], [144.9445966951995, -37.82063595439329]], ""type"": ""LineString""}",2014-05-30,,,,1580201,0,4.97716656086659,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
6975,"-37.82120001180243, 144.94485606811065","{""coordinates"": [[144.9448033907895, -37.82108543466503], [144.9449087454318, -37.82131458893983]], ""type"": ""LineString""}",2014-05-30,,,,1580205,0,4.97716655930605,Stormwater,City of Melbourne,600,Concrete,0,Pipe,,
6976,"-37.82133414167377, 144.94460815392983","{""coordinates"": [[144.94464143026096, -37.821343449984994], [144.9445748775987, -37.82132483336256]], ""type"": ""LineString""}",2014-05-30,,,,1580215,0,4.97764980279427,Stormwater,City of Melbourne,750,Concrete,0,Pipe,,
6977,"-37.82141588497968, 144.94454645341617","{""coordinates"": [[144.9445748775987, -37.82132483336256], [144.94451802923362, -37.8215069365968]], ""type"": ""LineString""}",2014-05-30,,,,1580217,0,4.97764980202004,Stormwater,City of Melbourne,750,Concrete,0,Pipe,,
6978,"-37.821389919949304, 144.94473949690178","{""coordinates"": [[144.94474308116907, -37.821416619817214], [144.94473591263448, -37.821363220081395]], ""type"": ""LineString""}",2014-05-30,,,,1580218,0,4.97716655411137,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6979,"-37.82104790827335, 144.94423269394363","{""coordinates"": [[144.94418815330442, -37.82095073849437], [144.94427723458284, -37.82114507805233]], ""type"": ""LineString""}",2014-05-30,,,,1580223,0,4.97716655216603,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6980,"-37.820934489444255, 144.94424392055154","{""coordinates"": [[144.94429968779866, -37.82091824039414], [144.94418815330442, -37.82095073849437]], ""type"": ""LineString""}",2014-05-30,,,,1580225,0,4.97716655121475,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6981,"-37.821129010211195, 144.9443332406144","{""coordinates"": [[144.94438924664595, -37.82111294237006], [144.94427723458284, -37.82114507805233]], ""type"": ""LineString""}",2014-05-30,,,,1580228,0,4.97716655006037,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6982,"-37.821539032909286, 144.94465282646934","{""coordinates"": [[144.94451802923362, -37.8215069365968], [144.94478762370508, -37.821571129221766]], ""type"": ""LineString""}",2014-05-30,,,,1580233,0,4.97716654809364,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6983,"-37.82158362521854, 144.94489376704144","{""coordinates"": [[144.94478762370508, -37.821571129221766], [144.94499991037782, -37.8215961212153]], ""type"": ""LineString""}",2014-05-30,,,,1580234,0,4.97716654770887,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6984,"-37.812818408394556, 144.96080216590764","{""coordinates"": [[144.96079990489847, -37.812813514604635], [144.96080442691678, -37.812823302184476]], ""type"": ""LineString""}",2014-11-26,,,,1580236,0,4.98674743381485,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6985,"-37.812806048788055, 144.9608634937739","{""coordinates"": [[144.96092256063105, -37.81278879539163], [144.96080442691678, -37.812823302184476]], ""type"": ""LineString""}",2014-11-26,,,,1580237,0,4.98674743339609,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6986,"-37.81638944249643, 144.97845439967335","{""coordinates"": [[144.97846938505415, -37.81631977604763], [144.97843941429255, -37.81645910894524]], ""type"": ""LineString""}",2015-01-27,,,,1580248,225,4.99074146972885,Stormwater,City of Melbourne,0,Concrete,450,Pipe,,
