_id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,location
11253,1570048,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.80234351591911,144.95138149587618,"-37.80234351591911, 144.95138149587618"
11254,1143107,SWD Pit - Grated Kerbside,Brick,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.814445122086646,144.97143673026028,"-37.814445122086646, 144.97143673026028"
11255,1141035,SWD Pit - Lane Type,Brick,500,Mild Steel,500,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.8124637315265,144.96715345164583,"-37.8124637315265, 144.96715345164583"
11256,1141931,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81992070417643,144.96600607635634,"-37.81992070417643, 144.96600607635634"
11257,1143739,SWD Pit - Grated OFK,Brick,600,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 915x381 Frame and Grate",300405-001,Grated OFK,Bluestone,-37.79896128476563,144.9518306522015,"-37.79896128476563, 144.9518306522015"
11258,1645598,SWD Pit - Junction,Not Known,,,,,,Junction,,-37.819446895781155,144.94592892257415,"-37.819446895781155, 144.94592892257415"
11259,1139971,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - 600x600 Class C Gatic,300410-003,Junction,None,-37.810722140292704,144.94876955244342,"-37.810722140292704, 144.94876955244342"
11260,1618251,SWD Pit - Lane Type,In Situ Concrete,1000,Mild Steel,1000,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.82617766553577,144.95801543264315,"-37.82617766553577, 144.95801543264315"
11261,1146759,SWD Pit - Grated Kerbside,In Situ Concrete,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.796784866772356,144.95446534938034,"-37.796784866772356, 144.95446534938034"
11262,1472740,Grated Kerbside,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Kerbside,,-37.83187910573678,144.9742901176959,"-37.83187910573678, 144.9742901176959"
11263,1140748,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.8116676529673,144.97165928705695,"-37.8116676529673, 144.97165928705695"
11264,1452723,Grated Manhole,Brick,,,,SWD Pit - Not Known,,Grated Manhole,,-37.78283198001432,144.94884600766827,"-37.78283198001432, 144.94884600766827"
11265,1142625,SWD Pit - Grated OFK,Brick,950,Mild Steel,630,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.85010744634315,144.98088488374916,"-37.85010744634315, 144.98088488374916"
11266,1140667,SWD Pit - Grated OFK,Precast Concrete,900,Mild Steel,430,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80936186468575,144.96832215108353,"-37.80936186468575, 144.96832215108353"
11267,1147346,SWD Pit - Grated Kerbside,Brick,380,Cast Iron,225,SWD Pit - Grated Kerbside Pit - Non Standard Frame and Grate,300404-003,Grated Kerbside,None,-37.813574062231325,144.98969752163768,"-37.813574062231325, 144.98969752163768"
11268,1149592,SWD Pit - Grated OFK,Brick,610,Mild Steel,610,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.80376981162159,144.96352894657358,"-37.80376981162159, 144.96352894657358"
11269,1140849,SWD Pit - Grated Kerbside,Brick,900,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.81135491056691,144.96886557076937,"-37.81135491056691, 144.96886557076937"
11270,1452334,Junction Pit,Precast Concrete,,,,SWD Pit - Not Known,,Junction,,-37.80584901613508,144.97049800447212,"-37.80584901613508, 144.97049800447212"
11271,1640421,SWD Pit - Lane Type,In Situ Concrete,490,Mild Steel,450,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79642827829024,144.95366692796392,"-37.79642827829024, 144.95366692796392"
11272,1364198,SWD Pit - Lane Type,Cast Iron Concrete Infill,350,Cast Iron,350,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81884040535556,144.96783450398792,"-37.81884040535556, 144.96783450398792"
11273,1143173,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.81346636769167,144.9737614085261,"-37.81346636769167, 144.9737614085261"
11274,1376050,Grated Side Entry Pit,In Situ Concrete,,,,SWD Pit - Not Known,,Grated Side Entry,,-37.841329285807795,144.97905703400392,"-37.841329285807795, 144.97905703400392"
11275,1144576,SWD Pit - Lane Type,In Situ Concrete,600,Mild Steel,600,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.80798380118314,144.94515484952106,"-37.80798380118314, 144.94515484952106"
11276,1148553,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.80198187744827,144.95801272806264,"-37.80198187744827, 144.95801272806264"
11277,1140324,SWD Pit - Lane Type,In Situ Concrete,530,Mild Steel,530,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.820686556908406,144.9553367823143,"-37.820686556908406, 144.9553367823143"
11278,1146315,SWD Pit - Grated OFK,Precast Concrete,930,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.80707379009284,144.91351946561193,"-37.80707379009284, 144.91351946561193"
11279,1363483,SWD Pit - Lane Type,In Situ Concrete,1000,Mild Steel,650,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.81164680687792,144.93605557642292,"-37.81164680687792, 144.93605557642292"
11280,1145783,SWD Pit - Grated OFK,Precast Concrete,920,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.821550759814606,144.9299001619792,"-37.821550759814606, 144.9299001619792"
11281,1141033,SWD Pit - Lane Type,Brick,300,Mild Steel,300,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.812471223158376,144.96713847918448,"-37.812471223158376, 144.96713847918448"
11282,1749775,SWD Pit - Grated OFK,In Situ Concrete,900,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.80598575115673,144.94239057145447,"-37.80598575115673, 144.94239057145447"
11283,1149281,SWD Pit - Junction,Brick,,,,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.80796998282753,144.9518309537515,"-37.80796998282753, 144.9518309537515"
11284,1658732,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.83032940767695,144.9695065130815,"-37.83032940767695, 144.9695065130815"
11285,1150971,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.81018925606323,144.94734627349578,"-37.81018925606323, 144.94734627349578"
11286,1144566,SWD Pit - Grated OFK,Brick,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80709235828921,144.9443338196498,"-37.80709235828921, 144.9443338196498"
11287,1144095,SWD Pit - Grated OFK,Brick,900,Mild Steel,430,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.79893240619639,144.9487114274505,"-37.79893240619639, 144.9487114274505"
11288,1147889,SWD Pit - Lane Type,In Situ Concrete,550,Mild Steel,550,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.79979544104227,144.96722200824055,"-37.79979544104227, 144.96722200824055"
11289,1143710,SWD Pit - Lane Type,Brick,730,Mild Steel,700,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.802644381338126,144.95138453981372,"-37.802644381338126, 144.95138453981372"
11290,1142938,SWD Pit - Lane Type,In Situ Concrete,660,Mild Steel,660,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.815329139776196,144.96519335120703,"-37.815329139776196, 144.96519335120703"
11291,1150233,SWD Pit - Lane Type,In Situ Concrete,980,Mild Steel,920,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.793508034397405,144.96185305441313,"-37.793508034397405, 144.96185305441313"
11292,1452579,Junction Pit,Precast Concrete,,,,SWD Pit - Not Known,,Junction,,-37.77864501778549,144.95945103048516,"-37.77864501778549, 144.95945103048516"
11293,1547086,SWD Pit - Grated Side Entry,Brick,980,Mild Steel,670,SWD Pit - Grated Side Entry Pit - Non Standard Frame and Grate,300402-003,Grated Side Entry,None,-37.799027764411406,144.94431938076417,"-37.799027764411406, 144.94431938076417"
11294,1148541,SWD Pit - Lane Type,Brick,500,Mild Steel,500,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.804057045026916,144.96010459802645,"-37.804057045026916, 144.96010459802645"
11295,1147647,SWD Pit - Grated OFK,Brick,938,Mild Steel,545,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.79769001332679,144.9580330280797,"-37.79769001332679, 144.9580330280797"
11296,1145173,SWD Pit - Grated OFK,Precast Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.79743843450072,144.92181920646905,"-37.79743843450072, 144.92181920646905"
11297,1147002,SWD Pit - Junction,In Situ Concrete,,,,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.796891728965164,144.9565614781868,"-37.796891728965164, 144.9565614781868"
11298,1140819,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.810698289531345,144.96804936512967,"-37.810698289531345, 144.96804936512967"
11299,1143995,SWD Pit - Grated OFK,In Situ Concrete,930,Mild Steel,600,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, Non Standard Frame and Grate",300405-006,Grated OFK,Concrete,-37.79801600894408,144.9445100620238,"-37.79801600894408, 144.9445100620238"
