id,asset_number,asset_description,construction_material_lupvalue,grate_length,grate_material_lupvalue,grate_width,model_descr_lupvalue,model_no_lupvalue,object_type_lupvalue,overflow_kerb_lupvalue,lat,lon,construction_material_group
6239,1152733,SWD Pit - Other,Not Known,NA,NA,NA,SWD Pit - Other,300417-000,Other,None,-37.82421928700673,144.98531915808425,Unknown
6240,1150145,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.78207919175087,144.95726507803178,Brick
6241,1648369,SWD Pit - Grated Kerbside,Not Known,700,Mild Steel,400,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.80048141666736,144.91679508784856,Unknown
6242,1375805,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.821892856100746,144.97029976917435,Concrete/Concrete Composite
6243,1153055,SWD Pit - Grated OFK,Precast Concrete,600,Mild Steel,400,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.796152143403994,144.9257728374992,Concrete/Concrete Composite
6244,1150299,SWD Pit - Not Known,Precast Concrete,NA,NA,NA,SWD Pit - Not Known,300418-000,Not Known,Not Known,-37.80752313801184,144.9134445732402,Concrete/Concrete Composite
6245,1582562,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.821857616433824,144.96445306845226,Concrete/Concrete Composite
6246,1153047,SWD Pit - Grated OFK,Precast Concrete,600,Mild Steel,400,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, Non Standard Frame and Grate",300405-003,Grated OFK,Bluestone,-37.79569086352746,144.9265524216066,Concrete/Concrete Composite
6247,1142083,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - 750x750 Class D Gatic,300410-004,Junction,None,-37.827475893937134,144.97171604501534,Concrete/Concrete Composite
6248,1794010,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.8201481372948,144.9443717451089,Unknown
6249,1152091,SWD Pit - Junction Pit,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.82296804012374,144.95086230621052,Concrete/Concrete Composite
6250,1149512,SWD Pit - Junction,Brick,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.80067941780435,144.9670712510544,Brick
6251,1141641,SWD Pit - Side Entry,In Situ Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.821614967791106,144.96915723366916,Concrete/Concrete Composite
6252,1759216,SWD Pit - Other,In Situ Concrete,NA,NA,NA,SWD Pit - Other,300417-000,Other,None,-37.81605925215381,144.968234643478,Concrete/Concrete Composite
6253,1141316,SWD Pit - Grated OFK,Precast Concrete,930,Mild Steel,600,SWD Pit - Grated Overflow Kerb Pit - Unclassified,300405-000,Grated OFK,Concrete,-37.8216125288123,144.95824578163544,Concrete/Concrete Composite
6254,1144737,SWD Pit - Grated Side Entry,Brick,937,Mild Steel,549,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 937x549 Frame and Grate",300405-005,Grated OFK,Concrete,-37.796084765853514,144.92741246046523,Brick
6255,1145305,SWD Pit - Lane Type,Precast Concrete,630,Mild Steel,630,SWD Pit - Laneway Type - 600x600 Frame and Grate,300407-002,Lane Type,None,-37.79530875039074,144.92149049917126,Concrete/Concrete Composite
6256,1149648,SWD Pit - Junction,Brick,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.80431161461067,144.9657770210905,Brick
6257,1794766,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.82162648134016,144.9496985991731,Unknown
6258,1475572,SWD Pit - Grated Side Entry,Concrete,937,Mild Steel,549,"SWD Pit - Grated Overflow Kerb Pit - Bluestone Kerb, 937x549 Frame and Grate",300405-002,Grated OFK,Bluestone,-37.83335685862435,144.98081104564395,Concrete/Concrete Composite
6259,1146688,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.787675763897134,144.9511524576024,Concrete/Concrete Composite
6260,1460823,SWD Pit - Grated Kerbside,Concrete,915,Cast Iron,380,"SWD Pit - Grated Overflow Kerb Pit - Exposed Aggregate Kerb, 915x381 Frame and Grate",300405-004,Grated OFK,Concrete,-37.80720092373428,144.908839448551,Concrete/Concrete Composite
6261,1148752,SWD Pit - Submerged,Not Known,NA,NA,NA,SWD Pit - Submerged,300415-000,Submerged,None,-37.811841167446744,144.9674909685896,Unknown
6262,1656866,SWD Pit - Junction,In Situ Concrete,NA,NA,NA,SWD Pit - Junction Pit - 750x750 Class D Gatic,300410-004,Junction,None,-37.812838748217345,144.96773509619692,Concrete/Concrete Composite
6263,1147733,SWD Pit - Side Entry,In Situ Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.799558031186145,144.96576366224951,Concrete/Concrete Composite
6264,1582644,SWD Pit - Other,Stainless Steel,910,None,430,SWD Pit - Other,300417-000,Other,None,-37.78969806748917,144.92773049988458,Metal
6265,1363437,SWD Pit - Junction,Not Known,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.787977526703955,144.94058370250372,Unknown
6266,1142530,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.83790933051013,144.98365575217315,Concrete/Concrete Composite
6267,1145403,SWD Pit - Grated Kerbside,Precast Concrete,930,Mild Steel,600,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.78105745424737,144.91087273018084,Concrete/Concrete Composite
6268,1618270,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.82737207665106,144.96220215992307,Concrete/Concrete Composite
6269,1142550,SWD Pit - Side Entry,Precast Concrete,NA,NA,NA,SWD Pit - Side Entry Pit - Unclassified,300401-000,Side Entry,None,-37.82383339919805,144.97696252158252,Concrete/Concrete Composite
6270,1151896,SWD Pit - Junction,Precast Concrete,NA,NA,NA,SWD Pit - Junction Pit - Unclassified,300410-000,Junction,None,-37.82867690990934,144.90721093320917,Concrete/Concrete Composite
6271,1658741,SWD Pit - Junction,Brick,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.82792080813182,144.95951255048382,Brick
6272,1150242,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.80834770229797,144.95319615022626,Brick
6273,1141969,SWD Pit - Lane Type,Precast Concrete,300,Mild Steel,200,SWD Pit - Laneway Type - Unclassified,300407-000,Lane Type,None,-37.82333450488078,144.95665177014286,Concrete/Concrete Composite
6274,1585115,SWD Pit - Grated Manhole,Not Known,NA,Mild Steel,NA,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.793898221876795,144.92755942411782,Unknown
6275,1144652,SWD Pit - Lane Type,Brick,510,Mild Steel,500,SWD Pit - Laneway Type - Non Standard Frame and Grate,300407-003,Lane Type,None,-37.7954359087871,144.9351222596077,Brick
6276,1596603,SWD Pit - Lane Type,Not Known,NA,NA,NA,SWD Pit - Junction Pit - Non Standard Cover,300410-007,Junction,None,-37.80487993385987,144.9563326701517,Unknown
6277,1153866,SWD Pit - Pipe to Pipe,Other,NA,NA,NA,SWD Pit - Pipe to Pipe,300419-000,Pipe to Pipe,None,-37.819227940049714,144.94558453036362,Other
6278,1140954,SWD Pit - Grated Kerbside,In Situ Concrete,910,Mild Steel,430,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.81123888420411,144.9636765443314,Concrete/Concrete Composite
6279,1144280,SWD Pit - Grated Manhole,In Situ Concrete,NA,Mild Steel,NA,SWD Pit - Grated Manhole,300413-001,Grated Manhole,None,-37.79845103724066,144.93721395748838,Concrete/Concrete Composite
6280,1151692,SWD Pit - System Node,Brick,NA,NA,NA,SWD Pit - System Node,300414-000,System Node,None,-37.83548892337597,144.98355405945046,Brick
6281,1148171,SWD Pit - Grated Kerbside,Brick,610,Mild Steel,600,SWD Pit - Grated Kerbside Pit - Unclassified,300404-000,Grated Kerbside,None,-37.80506933450434,144.96367111488152,Brick
