sa2_5digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
21243,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21244,Craigieburn - Mickleham,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21245,Gladstone Park - Westmeadows,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21246,Greenvale - Bulla,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21247,Meadow Heights,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21248,Melbourne Airport,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21249,Roxburgh Park - Somerton,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21250,Tullamarine,Tullamarine - Broadmeadows,Melbourne - North West,Greater Melbourne
21251,Bayswater,Knox,Melbourne - Outer East,Greater Melbourne
21252,Boronia - The Basin,Knox,Melbourne - Outer East,Greater Melbourne
21253,Ferntree Gully,Knox,Melbourne - Outer East,Greater Melbourne
21254,Knoxfield - Scoresby,Knox,Melbourne - Outer East,Greater Melbourne
21255,Lysterfield,Knox,Melbourne - Outer East,Greater Melbourne
21256,Rowville - Central,Knox,Melbourne - Outer East,Greater Melbourne
21257,Rowville - North,Knox,Melbourne - Outer East,Greater Melbourne
21258,Rowville - South,Knox,Melbourne - Outer East,Greater Melbourne
21259,Wantirna,Knox,Melbourne - Outer East,Greater Melbourne
21260,Wantirna South,Knox,Melbourne - Outer East,Greater Melbourne
21261,Donvale - Park Orchards,Manningham - East,Melbourne - Outer East,Greater Melbourne
21262,Warrandyte - Wonga Park,Manningham - East,Melbourne - Outer East,Greater Melbourne
21263,Bayswater North,Maroondah,Melbourne - Outer East,Greater Melbourne
21264,Croydon,Maroondah,Melbourne - Outer East,Greater Melbourne
21265,Croydon Hills - Warranwood,Maroondah,Melbourne - Outer East,Greater Melbourne
21266,Ringwood,Maroondah,Melbourne - Outer East,Greater Melbourne
21267,Ringwood East,Maroondah,Melbourne - Outer East,Greater Melbourne
21268,Ringwood North,Maroondah,Melbourne - Outer East,Greater Melbourne
21269,Forest Hill,Whitehorse - East,Melbourne - Outer East,Greater Melbourne
21270,Mitcham (Vic.),Whitehorse - East,Melbourne - Outer East,Greater Melbourne
21271,Nunawading,Whitehorse - East,Melbourne - Outer East,Greater Melbourne
21272,Vermont,Whitehorse - East,Melbourne - Outer East,Greater Melbourne
21273,Vermont South,Whitehorse - East,Melbourne - Outer East,Greater Melbourne
21274,Belgrave - Selby,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21275,Chirnside Park,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21276,Healesville - Yarra Glen,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21277,Kilsyth,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
