geo_point_2d,lat,lon,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,operator,diameter,material,height_mm,mat_desc,dnstr_inv,connection_status,pipe_length_m,pipe_age_yr
"-37.831925989773964, 144.91197009181968",-37.831925989773964,144.91197009181968,"{""coordinates"": [[144.91184855698094, -37.83169899413541], [144.91209162665845, -37.83215298541252]], ""type"": ""LineString""}",1994-01-01,1145922,NA,1145895,1135416,0,4.49496747612282,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,54.74511132315802,32
"-37.826758962212324, 144.972603667255",-37.826758962212324,144.972603667255,"{""coordinates"": [[144.97246567018445, -37.82688246435196], [144.9727416643255, -37.826635460072694]], ""type"": ""LineString""}",1944-01-01,1142275,NA,1142273,1132579,0,NA,City of Melbourne,NA,Unknown,0,Unknown,NA,Both connections recorded,36.63367899618509,82
"-37.811578061348925, 144.96866556378473",-37.811578061348925,144.96866556378473,"{""coordinates"": [[144.96867750318992, -37.81160392652847], [144.96865362437956, -37.81155219616937]], ""type"": ""LineString""}",1940-01-01,1148976,NA,1140851,1127677,0,3.20321153247764,City of Melbourne,225,Earthenware,0,Earthenware,NA,Both connections recorded,6.1146103921038435,86
"-37.81339274293566, 144.96564834102006",-37.81339274293566,144.96564834102006,"{""coordinates"": [[144.96562894873983, -37.81335155486966], [144.96566773330028, -37.813433931001654]], ""type"": ""LineString""}",1883-01-01,1141012,NA,1141011,1128302,1250,1.88325401291146,City of Melbourne,NA,Brick,1950,Brick Barrel,NA,Both connections recorded,9.760166651409758,143
"-37.83641390738888, 144.98057014841288",-37.83641390738888,144.98057014841288,"{""coordinates"": [[144.9808055745068, -37.83644441558549], [144.980334722319, -37.83638339919227]], ""type"": ""LineString""}",1971-01-01,1142176,NA,1150665,1132404,0,3.95377613612584,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,41.99745335436971,55
"-37.80188885107077, 144.9656934979293",-37.80188885107077,144.9656934979293,"{""coordinates"": [[144.9657134848768, -37.80189086307168], [144.9656735109818, -37.801886839069866]], ""type"": ""LineString""}",1986-01-01,1148294,NA,1148295,1129044,0,4.30673480323506,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,3.5486488216590115,40
"-37.801242811560066, 144.96695999307752",-37.801242811560066,144.96695999307752,"{""coordinates"": [[144.96695046885037, -37.80124179101427], [144.96696951730468, -37.80124383210586]], ""type"": ""LineString""}",1986-01-01,1148152,NA,1148151,1129041,0,4.30673480449129,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,1.6928057754938486,40
"-37.81289834476547, 144.97182097100614",-37.81289834476547,144.97182097100614,"{""coordinates"": [[144.9718124867709, -37.81290031594467], [144.97182945524136, -37.812896373586284]], ""type"": ""LineString""}",1985-01-01,1142780,NA,1142778,1127441,0,4.28322216729049,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,1.556916329857615,41
"-37.807801626392695, 144.92414275188537",-37.807801626392695,144.92414275188537,"{""coordinates"": [[144.92302672614403, -37.807688217591576], [144.9252587776267, -37.807915035193815]], ""type"": ""LineString""}",1968-01-01,1150352,NA,1150353,1131624,0,3.99544580211735,City of Melbourne,825,Concrete,0,RCP 600 Diameter and above,NA,Both connections recorded,198.16279136450595,58
"-37.819999460636346, 144.98123755581742",-37.819999460636346,144.98123755581742,"{""coordinates"": [[144.98127243657652, -37.819995964635865], [144.98120267505828, -37.82000295663683]], ""type"": ""LineString""}",2003-01-01,1152160,NA,1152159,1136589,0,4.70671562549807,City of Melbourne,225,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,6.1911051600605616,23
"-37.79414171554074, 144.92750287702222",-37.79414171554074,144.92750287702222,"{""coordinates"": [[144.9274085158148, -37.794199777063675], [144.92759723822962, -37.794083654017804]], ""type"": ""LineString""}",1940-01-01,1152399,NA,1144805,1137472,0,3.20320747522871,City of Melbourne,300,Earthenware,0,Unknown,NA,Both connections recorded,21.033736056173698,86
"-37.78670622272793, 144.94549152568203",-37.78670622272793,144.94549152568203,"{""coordinates"": [[144.94551252653036, -37.786664692901425], [144.9454705248337, -37.786747752554426]], ""type"": ""LineString""}",1940-01-01,1146998,NA,1146999,1131206,0,3.20321003963475,City of Melbourne,375,Earthenware,0,Earthenware,NA,Both connections recorded,9.933688100743307,86
"-37.814123103715815, 144.9413471178216",-37.814123103715815,144.9413471178216,"{""coordinates"": [[144.94150321978324, -37.814062430496236], [144.94119101585997, -37.8141837769354]], ""type"": ""LineString""}",2000-01-01,1153656,NA,1153657,1139243,0,4.67269185860669,City of Melbourne,750,Concrete,0,RCP 600 Diameter and above,NA,Both connections recorded,30.612778678549006,26
"-37.81536740622731, 144.97719302158032",-37.81536740622731,144.97719302158032,"{""coordinates"": [[144.9771228344837, -37.81535971649528], [144.97726320867696, -37.81537509595935]], ""type"": ""LineString""}",1915-01-01,1150855,NA,1150792,1132799,0,2.82779416815784,City of Melbourne,600,Concrete,0,RCP 600 Diameter and above,NA,Both connections recorded,12.477575043342602,111
"-37.81317993399873, 144.9392089967248",-37.81317993399873,144.9392089967248,"{""coordinates"": [[144.93930247205003, -37.81310879758867], [144.9391155213996, -37.81325107040878]], ""type"": ""LineString""}",2006-01-01,NA,NA,NA,1379324,0,4.79970463625321,City of Melbourne,900,Concrete,0,NA,NA,Both connections missing,22.81137411698319,20
"-37.810827217313204, 144.9261057539993",-37.810827217313204,144.9261057539993,"{""coordinates"": [[144.92624335326974, -37.81092281198914], [144.9259681547289, -37.81073162263727]], ""type"": ""LineString""}",1940-01-01,1152674,NA,1146056,1137513,0,NA,4,NA,Unknown,0,Unknown,NA,Both connections recorded,32.21134041428639,86
